Ambiente	CE	DAP	RM_0-5	RM_5=10	HR	P	MO	Ph	Ca	Mg	Na	K	N	ARA	RESP
NG	2.76	1.41	11	9	0.2	4.17	4.91	9.61	5.74	2.06	1.86	1.41	0.31	0.19	0.07
NG	1.77	1.33	12	12	0.22	3.36	3.84	9.15	5.62	2.17	1.81	1.4	0.25	0.17	0.07
NG	3.19	1.54	11.5	19	0.16	12.1	2.39	8.68	5.9	2	1.73	1.23	0.22	0.02	0.06
NG	2.72	0.8	16	25	0.08	17.14	1.89	5.98	6.55	1.32	0.93	1.6	0.22	0.14	0.05
NG	1.48	1.25	20	23	0.12	13.75	5.15	6.5	6.15	1.29	0.96	1.52	0.34	0.2	0
NG	1.88	0.96	11	15	0.12	10.74	1.97	5.83	5.7	1.37	0.82	1.4	0.31	0.16	0.09
NG	1.92	1.31	22	25	0.11	8.3	2.54	6.08	6.75	1.79	1.25	1.1	0.28	0.12	0.02
NG	1.64	1.19	16	21	0.13	14.3	2.29	7.28	6.55	1.9	1	1.25	0.33	0.16	0.09
NG	0.88	0.89	10	12	0.1	13.56	2.63	5.43	6.35	1.9	1.36	1.23	0.27	0.16	0.09
NG	3.19	1.54	11.5	19	0.16	12.1	2.39	8.68	5.9	2	1.73	1.23	0.22	0.02	0.06
NG	2.82	1.31	20	20	0.2	14.3	2.29	8.1	5.5	2.25	1.74	1.56	0.17	0.14	0.05
NG	3.75	1.46	14.75	14	0.19	12.6	2.41	8.53	5.65	2.05	2	1.21	0.14	0.03	0.03
NG	1.16	1.03	16.5	13	0.25	13.9	2.54	6.82	6.55	1.8	0.91	1.3	0.33	0	0.07
NG	1.7	1.46	8	16.5	0.17	13.7	2.62	6.9	6.5	1.9	0.8	1.41	0.19	0.03	0.05
NG	3.2	1.46	7.5	17.5	0.17	14.1	2.26	6.7	5.95	1.85	0.87	1.63	0.23	0.03	0.03
NG	0.94	1.17	8.25	12.75	0.23	12.1	2.52	7.3	6.15	1.6	1.3	1.24	0.26	0	0.03
NG	1.92	1.26	5.5	10	0.21	12.5	3.8	6.9	6.45	1.95	0.98	1.2	0.43	0.01	0.17
NG	0.9	1.34	10.5	20	0.19	14.7	2.34	7.3	6.48	1.9	0.88	1.25	0.24	0.03	0.02
NG	1.77	1.33	12	12	0.22	3.36	3.84	9.15	5.62	2.17	1.81	1.4	0.25	0.17	0.07
NG	2.76	1.41	11	9	0.2	4.17	4.91	9.61	5.74	2.06	1.86	1.41	0.31	0.19	0.07
NG	1.39	1.46	11.75	9	0.19	4.58	3.14	9.22	5.82	1.96	1.76	1.22	0.21	0.19	0.11
NG	0.71	1.2	6	8.5	0.23	3.5	4.88	6.94	6.06	1.78	0.88	1.2	0.28	0.12	0.09
NG	0.67	1.27	7.75	10	0.22	5.39	3.94	7.09	5.96	1.84	0.74	1.3	0.27	0.19	0.04
NG	0.84	1.35	5	6.5	0.22	5.18	4.16	6.78	5.72	1.77	0.79	1.37	0.34	0.19	0.1
NG	0.72	1.29	3	4	0.28	4.91	3.99	7.77	6.19	1.62	1.04	1.08	0.27	0.18	0.09
NG	0.74	1.19	4.25	6	0.23	7.07	5.91	8.88	6.27	1.68	1.13	1.12	0.32	0.18	0.14
NG	0.74	1.28	6.75	8	0.22	9.51	5.12	7.81	6.59	1.62	1.17	1.16	0.21	0.38	0.09
NG	3.84	0.74	6.5	6.5	0.2	17.2	4.97	8.94	8.5	2.3	2.17	2.96	0.17	0.02	0.09
NG	4.36	0.91	18	18	0.18	7.51	3.28	9.22	9.25	2.02	3.91	2.4	0.17	0.06	0.11
NG	3.77	0.77	4	7	0.28	9.26	4.78	8.59	9.9	1.96	1.56	2.48	0.21	0.07	0.07
NG	1.02	0.89	3.25	6.5	0.2	1.22	5.62	6.49	7.72	0.78	1.04	3.3	0.3	0.06	0.09
NG	0.79	1.13	2.5	7.5	0.27	9.78	4.69	6.98	7.72	1.12	0.92	3.7	0.18	0.06	0.11
NG	0.67	1.09	3.25	3.25	0.27	1	3.09	6.67	7.72	0.85	1.09	2.19	0.27	0.06	0.1
NG	1.75	1.02	8	8.75	0.26	2.05	5.81	8.16	9.9	1.72	0.08	1.7	0.18	0.06	0.09
NG	0.94	1.07	4.75	11.5	0.14	8.54	6.75	6.97	10.2	1.7	0.08	1.74	0.27	0.06	0.09
NG	0.67	0.88	6	7.75	0.21	11.22	6	6.54	11.05	1.89	0.04	2.26	0.23	0.06	0.11
NG	4.12	1.3	20	20	0.15	5.55	1.95	8.91	6.5	2.5	2.1	1.9	0.24	0.35	0.08
NG	3.92	1.34	28	30	0.14	7.72	3.65	9.18	6.15	1.85	2.15	1.6	0.3	0.21	0.04
NG	2.72	1.35	30	30	0.13	0	2.44	8.96	6.68	1.12	2.02	2	0.2	0.35	0.06
NG	0.82	1.22	1	3	0.23	5.45	3.41	6.65	7.13	1.23	0.96	1.66	0.32	0.35	0.08
NG	1.04	1.1	5.5	10	0.24	1.74	6.82	6.4	6.25	1	1.02	2.6	0.41	0.47	0.08
NG	0.68	1.16	8	9	0.2	1.32	1.71	6.51	7.05	0.95	0.89	2.1	0.27	0.39	0.03
NG	1.06	0.91	6.5	8	0.22	1.12	5.36	6.64	10	2.1	1	1.6	0.4	0.48	0.08
NG	1.22	0.97	8	10.5	0.3	9.88	4.87	6.94	9	1.63	0.84	1	0.27	0.36	0.2
NG	1.04	1.2	9.5	12.5	0.2	0.91	5.85	6.19	10.6	1.85	0.98	1.3	0.33	0.4	0.04
NG	0.55	1.16	4	8.5	0.49	3.37	8.93	7.45	5.45	1.9	1.74	2.6	0.35	0.15	0.04
NG	0.53	1.43	1	3	0.33	14.19	4.35	6.89	6.35	1.9	2.01	2.1	0.51	0.18	0.1
NG	0.43	0.9	0.5	3.5	0.64	12.76	3.28	7.9	5.55	2.05	1.89	2	0.27	0.16	0.11
NG	0.36	1.16	9.25	16.75	0.37	17.17	5.27	7.45	6.33	1.35	1.15	2.03	0.17	0.07	0.09
NG	0.35	1.44	5.5	10.5	0.3	19.37	4.17	7.21	6	2.65	1.22	1.55	0.21	0.11	0.1
NG	0.44	1.22	8	11.75	0.37	21.58	4.93	7.46	8	1.5	0.93	1.9	0.27	0.17	0.1
NG	0.58	1.33	9.5	15.5	0.31	2.15	4.76	8.73	6.95	1.33	2.02	1.45	0.26	0.16	0.02
NG	0.55	1.25	4.5	8	0.33	0	5.66	8.46	9.35	1.3	1.35	1.4	0.28	0.25	0.1
NG	0.4	1.23	2.5	8	0.35	0	6.85	7.29	8.55	1.4	1.4	1.66	0.37	0.13	0.15
NG	0.28	1.33	1.5	6	0.29	8.65	2.15	7.85	6	1.9	2	1.4	0.17	0.18	0.03
NG	0.23	1.33	1	1	0.28	5.73	7.33	6.67	5.15	2.05	1.9	1.93	0.42	0.23	0.05
NG	0.21	1.12	1	1	0.47	16.87	4.8	7.17	5.65	1.6	1.9	3.1	0.19	0.22	0.08
NG	0.27	1.13	13	11	0.38	7.75	5.06	6.93	5.95	2.5	0.96	1.66	0.27	0.15	0
NG	0.24	1.16	7.5	14	0.35	2.18	4.3	7.09	7.7	1.18	0.95	1.9	0.18	0.19	0.06
NG	0.15	1.3	4	6.5	0.31	1.55	3.54	7.03	6.1	1.6	1.1	2	0.3	0.15	0.02
NG	0.32	1.24	5.5	9.5	0.3	4.55	5.69	8.29	8.5	1.33	0.98	2.03	0.14	0.17	0.1
