Site	Date	Bd	MR0.5	MR5.10	Rh	EC	P	OM	Ph	Ca	Mg	Na	K	N	ARA	SoilResp	Hypogastruridae	Onychiuridae	Isotomidae	Entomobridae	Symphypleona	Dermanyssoidea	Rhodacaroidea	Parasitoidea	Uropodoidea	Veigaioidea	Paratydeoidea	Eupodoidea	Tydeoidea	Tetranychoidea	Scutacaroidea	Trombidioidea	Rhagididae	Brachychthonoidea	Eulohmannioidea	Lohmannioidea	Euphthiracaroidea	Crotoniodea	Oppioidea	Hidrozetoidea	Galumnoidea	Oripodoidea	Parhypochthonioidea	Ceratozetoidea	Hermannioidea	Oribatelloidea	Acaroidea	Astigmata	Astigmata_subadult	Aporrectodea_caliginosa	Aporrectodea_rosea	Aporrectodea_trapezoides	Octolasion_cyaneum	Octolasion_tyrtaeum	Octolasion_lacteum	Microscolex_dubius	Microscolex_phosphoreus	Eukerria_stagnalis	Crassiclitellata_subadults
NG	2009-02	1.41	11	9	0.2	2.76	4.17	4.91	9.61	5.74	2.06	1.86	1.41	0.31	0.19	0.07	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG	2009-02	1.33	12	12	0.22	1.77	3.36	3.84	9.15	5.62	2.17	1.81	1.4	0.25	0.17	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NG	2009-02	1.54	11.5	19	0.16	3.19	12.1	2.39	8.68	5.9	2	1.73	1.23	0.22	0.02	0.06	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG	2009-02	0.8	16	25	0.08	2.72	17.14	1.89	5.98	6.55	1.32	0.93	1.6	0.22	0.14	0.05	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NG	2009-02	1.25	20	23	0.12	1.48	13.75	5.15	6.5	6.15	1.29	0.96	1.52	0.34	0.2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG	2009-02	0.96	11	15	0.12	1.88	10.74	1.97	5.83	5.7	1.37	0.82	1.4	0.31	0.16	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG	2009-02	1.31	22	25	0.11	1.92	8.3	2.54	6.08	6.75	1.79	1.25	1.1	0.28	0.12	0.02	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
NG	2009-02	1.19	16	21	0.13	1.64	14.3	2.29	7.28	6.55	1.9	1	1.25	0.33	0.16	0.09	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NG	2009-02	0.89	10	12	0.1	0.88	13.56	2.63	5.43	6.35	1.9	1.36	1.23	0.27	0.16	0.09	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	20
NG	2009-05	1.54	11.5	19	0.16	3.19	12.1	2.39	8.68	5.9	2	1.73	1.23	0.22	0.02	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
